especies,registros BHRD,Hábito,ID,SpecieName,Family,Genus,Specific.Epiteth,Seed.type,Sind,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,scientificName,id_bhrd,id_flora,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vernacular.name,occurrence,establishment,arvore_life.form,Arbusto_life.form,LVT_life.form,Subarbusto_life.form,suculenta_life.form,Terricola_habitat,Rupicola_habitat,Hemiepifita_habitat
Siparuna guianensis,45,Arbusto|Árvore,1707,Siparuna guianensis,Siparunaceae,Siparuna,guianensis,orthodox,zoochoric,8,9,3,"5,8",NA,8,Siparuna guianensis,sp_0023,14548,Siparuna guianensis Aubl.,NA,Siparunaceae,species,accepted,Siparuna guianensis,NA,,Siparuna guianensis,Arbusto|arvore,Terricola,"Capitiiº/PORTUGUES/Sudeste, Sul, Centroeste | Negramina/PORTUGUES/Sudeste, Sul, Centroeste | Cai¡pitiiº/PORTUGUES/Norte | Limao-bravo/PORTUGUES/Sudeste, Sul, Centroeste, Norte | Miµe-hanaki«/PORTUGUES/Norte",BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Tapirira guianensis,44,Árvore,1846,Tapirira guianensis,Anacardiaceae,Tapirira,guianensis,intermediate,zoochoric,"11,6",16,"8,15","6,9","0,4835",14,Tapirira guianensis,sp_0026,4408,Tapirira guianensis Aubl.,NA,Anacardiaceae,species,accepted,Tapirira guianensis,NA,,Tapirira guianensis,arvore,Terricola,camboati¡/PORTUGUES/Bahia | cupuba/PORTUGUES/Bahia | pau-pombo/PORTUGUES/Brasil | peito-de-pomba/PORTUGUES/Bahia,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Casearia sylvestris,43,Arbusto|Árvore|Subarbusto,272,Casearia sylvestris,Salicaceae,Casearia,sylvestris,orthodox,zoochoric,4,5,"1,3","22,8","0,745",6,Casearia sylvestris,sp_0027,14384,Casearia sylvestris Sw.,NA,Salicaceae,species,accepted,Casearia sylvestris,NA,,Casearia sylvestris,Arbusto|arvore|Subarbusto,Terricola,guai§atonga/PORTUGUES/SE | pau-de-lagarto/PORTUGUES/SE,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,333333333333333","0,333333333333333",0,"0,333333333333333",0,1,0,0
Guatteria villosissima,43,Árvore,776,Guatteria villosissima,Annonaceae,Guatteria,villosissima,recalcitrant,zoochoric,"4,8","8,2",4,6,"0,69",8,Guatteria villosissima,sp_0029,110463,Guatteria villosissima A.St.-Hil.,NA,Annonaceae,species,accepted,Guatteria villosissima,LC,,Guatteria villosissima,arvore,Terricola,NA,BR-ES|BR-MG|BR-RJ,native,1,0,0,0,0,1,0,0
Byrsonima sericea,42,Arbusto|Árvore,204,Byrsonima sericea,Malpighiaceae,Byrsonima,sericea,orthodox,zoochoric,7,"6,5",5,6,"0,78",16,Byrsonima sericea,sp_0032,8845,Byrsonima sericea DC.,NA,Malpighiaceae,species,accepted,Byrsonima sericea,NA,,Byrsonima sericea,Arbusto|arvore,Terricola,NA,BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Apuleia leiocarpa,42,Árvore,100,Apuleia leiocarpa,Fabaceae,Apuleia,leiocarpa,orthodox,abiotic,"20,88","54,92","6,21","7,5","0,8371",35,Apuleia leiocarpa,sp_0031,22796,Apuleia leiocarpa (Vogel) J.F.Macbr.,NA,Fabaceae,species,accepted,Apuleia leiocarpa,VU,,Apuleia leiocarpa,arvore,Terricola,cumaru cetim/PORTUGUES/Amazonica | mitaroi¡/PORTUGUES/Amazonica | Garapa/PORTUGUES/Sudeste | Amarelao/PORTUGUES/Amazi´nica | Grapia/PORTUGUES/Sul,BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Piptadenia gonoacantha,42,Árvore,1473,Piptadenia gonoacantha,Fabaceae,Piptadenia,gonoacantha,orthodox,abiotic,25,135,8,9,"0,715",20,Piptadenia gonoacantha,sp_0036,31387,Piptadenia gonoacantha (Mart.) J.F.Macbr.,NA,Fabaceae,species,accepted,Piptadenia gonoacantha,LC,,Piptadenia gonoacantha,arvore,Terricola,NA,BR-AL|BR-BA|BR-ES|BR-MG|BR-MS|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Nectandra oppositifolia,42,Árvore,1320,Nectandra oppositifolia,Lauraceae,Nectandra,oppositifolia,recalcitrant,zoochoric,11,15,10,14,"0,54",20,Nectandra oppositifolia,sp_0035,8434,Nectandra oppositifolia Nees,NA,Lauraceae,species,accepted,Nectandra oppositifolia,NA,,Nectandra oppositifolia,arvore,Terricola,canela ferrugem/PORTUGUES/sudeste,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Miconia latecrenata,42,Arbusto|Árvore,1135,Miconia latecrenata,Melastomataceae,Miconia,latecrenata,orthodox,zoochoric,"2,3","1,9",NA,NA,NA,7,Miconia latecrenata,sp_0034,9724,Miconia latecrenata (DC.) Naudin,NA,Melastomataceae,species,accepted,Miconia latecrenata,NA,,Miconia latecrenata,Arbusto|arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Miconia albicans,41,Arbusto|Árvore,1102,Miconia albicans,Melastomataceae,Miconia,albicans,orthodox,zoochoric,4,"2,5",1,NA,NA,6,Miconia albicans,sp_0039,9668,Miconia albicans (Sw.) Triana,NA,Melastomataceae,species,accepted,Miconia albicans,NA,,Miconia albicans,Arbusto|arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
